Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) ",cluster
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28.0,79.99,0
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28.0,61.89,0
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270.0,40.27,0
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365.0,41.05,0
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360.0,44.3,2
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90.0,47.03,2
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365.0,43.7,0
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28.0,36.45,0
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28.0,45.85,2
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28.0,39.29,0
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90.0,38.07,2
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28.0,28.02,2
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270.0,43.01,0
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90.0,42.33,2
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28.0,47.81,0
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90.0,52.91,0
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90.0,39.36,2
342.0,38.0,0.0,228.0,0.0,932.0,670.0,365.0,56.14,0
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90.0,40.56,0
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180.0,42.62,0
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180.0,41.84,0
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28.0,28.24,2
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3.0,8.06,2
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180.0,44.21,2
380.0,0.0,0.0,228.0,0.0,932.0,670.0,365.0,52.52,0
380.0,0.0,0.0,228.0,0.0,932.0,670.0,270.0,53.3,0
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270.0,41.15,0
342.0,38.0,0.0,228.0,0.0,932.0,670.0,180.0,52.12,0
427.5,47.5,0.0,228.0,0.0,932.0,594.0,28.0,37.43,0
475.0,0.0,0.0,228.0,0.0,932.0,594.0,7.0,38.6,0
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365.0,55.26,0
266.0,114.0,0.0,228.0,0.0,932.0,670.0,365.0,52.91,2
198.6,132.4,0.0,192.0,0.0,978.4,825.5,180.0,41.72,2
475.0,0.0,0.0,228.0,0.0,932.0,594.0,270.0,42.13,0
190.0,190.0,0.0,228.0,0.0,932.0,670.0,365.0,53.69,2
237.5,237.5,0.0,228.0,0.0,932.0,594.0,270.0,38.41,2
237.5,237.5,0.0,228.0,0.0,932.0,594.0,28.0,30.08,2
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90.0,37.72,2
475.0,0.0,0.0,228.0,0.0,932.0,594.0,90.0,42.23,0
237.5,237.5,0.0,228.0,0.0,932.0,594.0,180.0,36.25,2
342.0,38.0,0.0,228.0,0.0,932.0,670.0,90.0,50.46,0
427.5,47.5,0.0,228.0,0.0,932.0,594.0,365.0,43.7,0
237.5,237.5,0.0,228.0,0.0,932.0,594.0,365.0,39.0,2
380.0,0.0,0.0,228.0,0.0,932.0,670.0,180.0,53.1,0
427.5,47.5,0.0,228.0,0.0,932.0,594.0,90.0,41.54,0
427.5,47.5,0.0,228.0,0.0,932.0,594.0,7.0,35.08,0
349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3.0,15.05,0
380.0,95.0,0.0,228.0,0.0,932.0,594.0,180.0,40.76,0
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7.0,26.26,2
380.0,95.0,0.0,228.0,0.0,932.0,594.0,7.0,32.82,0
332.5,142.5,0.0,228.0,0.0,932.0,594.0,180.0,39.78,0
190.0,190.0,0.0,228.0,0.0,932.0,670.0,180.0,46.93,2
237.5,237.5,0.0,228.0,0.0,932.0,594.0,90.0,33.12,2
304.0,76.0,0.0,228.0,0.0,932.0,670.0,90.0,49.19,0
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7.0,14.59,2
198.6,132.4,0.0,192.0,0.0,978.4,825.5,7.0,14.64,2
475.0,0.0,0.0,228.0,0.0,932.0,594.0,365.0,41.93,0
198.6,132.4,0.0,192.0,0.0,978.4,825.5,3.0,9.13,2
304.0,76.0,0.0,228.0,0.0,932.0,670.0,180.0,50.95,0
332.5,142.5,0.0,228.0,0.0,932.0,594.0,28.0,33.02,2
304.0,76.0,0.0,228.0,0.0,932.0,670.0,270.0,54.38,0
266.0,114.0,0.0,228.0,0.0,932.0,670.0,270.0,51.73,2
310.0,0.0,0.0,192.0,0.0,971.0,850.6,3.0,9.87,0
190.0,190.0,0.0,228.0,0.0,932.0,670.0,270.0,50.66,2
266.0,114.0,0.0,228.0,0.0,932.0,670.0,180.0,48.7,2
342.0,38.0,0.0,228.0,0.0,932.0,670.0,270.0,55.06,0
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360.0,44.7,2
332.5,142.5,0.0,228.0,0.0,932.0,594.0,7.0,30.28,2
190.0,190.0,0.0,228.0,0.0,932.0,670.0,28.0,40.86,2
485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28.0,71.99,0
374.0,189.2,0.0,170.1,10.1,926.1,756.7,3.0,34.4,2
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3.0,28.8,2
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3.0,33.4,0
425.0,106.3,0.0,151.4,18.6,936.0,803.7,3.0,36.3,0
375.0,93.8,0.0,126.6,23.4,852.1,992.6,3.0,29.0,0
475.0,118.8,0.0,181.1,8.9,852.1,781.5,3.0,37.8,0
469.0,117.2,0.0,137.8,32.2,852.1,840.5,3.0,40.2,0
388.6,97.1,0.0,157.9,12.1,852.1,925.7,3.0,28.1,0
531.3,0.0,0.0,141.8,28.2,852.1,893.7,3.0,41.3,0
318.8,212.5,0.0,155.7,14.3,852.1,880.4,3.0,25.2,2
401.8,94.7,0.0,147.4,11.4,946.8,852.1,3.0,41.1,0
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3.0,35.3,2
323.7,282.8,0.0,183.8,10.3,942.7,659.9,3.0,28.3,2
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,3.0,28.6,0
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,3.0,24.4,2
439.0,177.0,0.0,186.0,11.1,884.9,707.9,3.0,39.3,0
389.9,189.0,0.0,145.9,22.0,944.7,755.8,3.0,40.6,0
337.9,189.0,0.0,174.9,9.5,944.7,755.8,3.0,24.1,2
374.0,189.2,0.0,170.1,10.1,926.1,756.7,7.0,46.2,2
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,7.0,42.8,2
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7.0,49.2,0
425.0,106.3,0.0,151.4,18.6,936.0,803.7,7.0,46.8,0
375.0,93.8,0.0,126.6,23.4,852.1,992.6,7.0,45.7,0
475.0,118.8,0.0,181.1,8.9,852.1,781.5,7.0,55.6,0
469.0,117.2,0.0,137.8,32.2,852.1,840.5,7.0,54.9,0
388.6,97.1,0.0,157.9,12.1,852.1,925.7,7.0,34.9,0
531.3,0.0,0.0,141.8,28.2,852.1,893.7,7.0,46.9,0
318.8,212.5,0.0,155.7,14.3,852.1,880.4,7.0,33.4,2
401.8,94.7,0.0,147.4,11.4,946.8,852.1,7.0,54.1,0
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7.0,55.9,2
323.7,282.8,0.0,183.8,10.3,942.7,659.9,7.0,49.8,2
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,7.0,47.1,0
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,7.0,38.0,2
439.0,177.0,0.0,186.0,11.1,884.9,707.9,7.0,56.1,0
389.9,189.0,0.0,145.9,22.0,944.7,755.8,7.0,59.09,0
362.6,189.0,0.0,164.9,11.6,944.7,755.8,7.0,22.9,2
337.9,189.0,0.0,174.9,9.5,944.7,755.8,7.0,35.1,2
374.0,189.2,0.0,170.1,10.1,926.1,756.7,28.0,61.09,2
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,28.0,59.8,2
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28.0,60.29,0
425.0,106.3,0.0,151.4,18.6,936.0,803.7,28.0,61.8,0
375.0,93.8,0.0,126.6,23.4,852.1,992.6,28.0,56.7,0
475.0,118.8,0.0,181.1,8.9,852.1,781.5,28.0,68.3,0
469.0,117.2,0.0,137.8,32.2,852.1,840.5,28.0,66.9,0
388.6,97.1,0.0,157.9,12.1,852.1,925.7,28.0,50.7,0
531.3,0.0,0.0,141.8,28.2,852.1,893.7,28.0,56.4,0
318.8,212.5,0.0,155.7,14.3,852.1,880.4,28.0,55.5,2
401.8,94.7,0.0,147.4,11.4,946.8,852.1,28.0,68.5,0
362.6,189.0,0.0,164.9,11.6,944.7,755.8,28.0,71.3,2
323.7,282.8,0.0,183.8,10.3,942.7,659.9,28.0,74.7,2
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,28.0,52.2,0
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,28.0,67.7,2
439.0,177.0,0.0,186.0,11.1,884.9,707.9,28.0,66.0,0
389.9,189.0,0.0,145.9,22.0,944.7,755.8,28.0,74.5,0
337.9,189.0,0.0,174.9,9.5,944.7,755.8,28.0,49.9,2
374.0,189.2,0.0,170.1,10.1,926.1,756.7,56.0,63.4,2
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,56.0,64.9,2
425.0,106.3,0.0,153.5,16.5,852.1,887.1,56.0,64.3,0
425.0,106.3,0.0,151.4,18.6,936.0,803.7,56.0,64.9,0
375.0,93.8,0.0,126.6,23.4,852.1,992.6,56.0,60.2,0
475.0,118.8,0.0,181.1,8.9,852.1,781.5,56.0,72.3,0
469.0,117.2,0.0,137.8,32.2,852.1,840.5,56.0,69.3,0
388.6,97.1,0.0,157.9,12.1,852.1,925.7,56.0,55.2,0
531.3,0.0,0.0,141.8,28.2,852.1,893.7,56.0,58.8,0
318.8,212.5,0.0,155.7,14.3,852.1,880.4,56.0,66.1,2
401.8,94.7,0.0,147.4,11.4,946.8,852.1,56.0,73.7,0
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56.0,77.3,2
323.7,282.8,0.0,183.8,10.3,942.7,659.9,56.0,80.2,2
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,56.0,54.9,0
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,56.0,72.99,2
439.0,177.0,0.0,186.0,11.1,884.9,707.9,56.0,71.7,0
389.9,189.0,0.0,145.9,22.0,944.7,755.8,56.0,79.4,0
337.9,189.0,0.0,174.9,9.5,944.7,755.8,56.0,59.89,2
374.0,189.2,0.0,170.1,10.1,926.1,756.7,91.0,64.9,0
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,91.0,66.6,2
425.0,106.3,0.0,153.5,16.5,852.1,887.1,91.0,65.2,0
425.0,106.3,0.0,151.4,18.6,936.0,803.7,91.0,66.7,0
375.0,93.8,0.0,126.6,23.4,852.1,992.6,91.0,62.5,0
475.0,118.8,0.0,181.1,8.9,852.1,781.5,91.0,74.19,0
469.0,117.2,0.0,137.8,32.2,852.1,840.5,91.0,70.7,0
388.6,97.1,0.0,157.9,12.1,852.1,925.7,91.0,57.6,0
531.3,0.0,0.0,141.8,28.2,852.1,893.7,91.0,59.2,0
318.8,212.5,0.0,155.7,14.3,852.1,880.4,91.0,68.1,2
401.8,94.7,0.0,147.4,11.4,946.8,852.1,91.0,75.5,0
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91.0,79.3,2
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,91.0,56.5,0
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,91.0,76.8,2
439.0,177.0,0.0,186.0,11.1,884.9,707.9,91.0,73.3,0
389.9,189.0,0.0,145.9,22.0,944.7,755.8,91.0,82.6,0
337.9,189.0,0.0,174.9,9.5,944.7,755.8,91.0,67.8,2
222.4,0.0,96.7,189.3,4.5,967.1,870.3,3.0,11.58,1
222.4,0.0,96.7,189.3,4.5,967.1,870.3,14.0,24.45,1
222.4,0.0,96.7,189.3,4.5,967.1,870.3,28.0,24.89,1
222.4,0.0,96.7,189.3,4.5,967.1,870.3,56.0,29.45,1
222.4,0.0,96.7,189.3,4.5,967.1,870.3,100.0,40.71,1
233.8,0.0,94.6,197.9,4.6,947.0,852.2,3.0,10.38,1
233.8,0.0,94.6,197.9,4.6,947.0,852.2,14.0,22.14,1
233.8,0.0,94.6,197.9,4.6,947.0,852.2,28.0,22.84,1
233.8,0.0,94.6,197.9,4.6,947.0,852.2,56.0,27.66,1
233.8,0.0,94.6,197.9,4.6,947.0,852.2,100.0,34.56,1
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,3.0,12.45,1
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,14.0,24.99,1
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,28.0,25.72,1
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,56.0,33.96,1
194.7,0.0,100.5,165.6,7.5,1006.4,905.9,100.0,37.34,1
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,3.0,15.04,1
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,14.0,21.06,1
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,28.0,26.4,1
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,56.0,35.34,1
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,100.0,40.57,1
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,3.0,12.47,1
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,14.0,20.92,1
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,28.0,24.9,1
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,56.0,34.2,1
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,100.0,39.61,1
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,3.0,10.03,1
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,14.0,20.08,1
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,28.0,24.48,1
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,56.0,31.54,1
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,100.0,35.34,1
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,3.0,9.45,1
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,14.0,22.72,1
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,28.0,28.47,1
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,56.0,38.56,1
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,100.0,40.39,1
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,3.0,10.76,1
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,14.0,25.48,1
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,28.0,21.54,1
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,56.0,28.63,1
166.1,0.0,163.3,176.5,4.5,1058.6,780.1,100.0,33.54,1
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,3.0,7.75,1
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,14.0,17.82,1
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,28.0,24.24,1
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,56.0,32.85,1
168.0,42.1,163.8,121.8,5.7,1058.7,780.1,100.0,39.23,1
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3.0,18.0,1
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14.0,30.39,1
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28.0,45.71,1
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56.0,50.77,1
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100.0,53.9,1
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,3.0,13.18,1
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,14.0,17.84,1
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,28.0,40.23,1
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,56.0,47.13,1
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,100.0,49.97,1
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,3.0,13.36,1
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,14.0,22.32,1
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,28.0,24.54,1
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,56.0,31.35,1
229.7,0.0,118.2,195.2,6.1,1028.1,757.6,100.0,40.86,1
238.1,0.0,94.1,186.7,7.0,949.9,847.0,3.0,19.93,1
238.1,0.0,94.1,186.7,7.0,949.9,847.0,14.0,25.69,1
238.1,0.0,94.1,186.7,7.0,949.9,847.0,28.0,30.23,1
238.1,0.0,94.1,186.7,7.0,949.9,847.0,56.0,39.59,1
238.1,0.0,94.1,186.7,7.0,949.9,847.0,100.0,44.3,1
250.0,0.0,95.7,187.4,5.5,956.9,861.2,3.0,13.82,1
250.0,0.0,95.7,187.4,5.5,956.9,861.2,14.0,24.92,1
250.0,0.0,95.7,187.4,5.5,956.9,861.2,28.0,29.22,1
250.0,0.0,95.7,187.4,5.5,956.9,861.2,56.0,38.33,1
250.0,0.0,95.7,187.4,5.5,956.9,861.2,100.0,42.35,1
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,3.0,13.54,1
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,14.0,26.31,1
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,28.0,31.64,1
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,56.0,42.55,1
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,100.0,42.92,1
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,3.0,13.33,1
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,14.0,25.37,1
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,28.0,37.4,1
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,56.0,44.4,1
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,100.0,47.74,1
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,3.0,19.52,1
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,14.0,31.35,1
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,28.0,38.5,1
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,56.0,45.08,1
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,100.0,47.82,1
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,3.0,15.44,1
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,14.0,26.77,1
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,28.0,33.73,1
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,56.0,42.7,1
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,100.0,45.84,1
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,3.0,17.22,1
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,14.0,29.93,1
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,28.0,29.65,1
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,56.0,36.97,1
251.4,0.0,118.3,188.5,5.8,1028.4,757.7,100.0,43.58,1
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,3.0,13.12,1
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,14.0,24.43,1
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,28.0,32.66,1
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,56.0,36.64,1
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,100.0,44.21,1
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,3.0,13.62,1
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,14.0,21.6,1
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,28.0,27.77,1
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,56.0,35.57,1
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,100.0,45.37,1
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,3.0,7.32,1
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,14.0,21.5,1
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,28.0,31.27,1
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,56.0,43.5,1
182.0,45.2,122.0,170.2,8.2,1059.4,780.7,100.0,48.67,1
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,3.0,7.4,1
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14.0,23.51,1
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,28.0,31.12,1
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56.0,39.15,1
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100.0,48.15,1
290.4,0.0,96.2,168.1,9.4,961.2,865.0,3.0,22.5,1
290.4,0.0,96.2,168.1,9.4,961.2,865.0,14.0,34.67,1
290.4,0.0,96.2,168.1,9.4,961.2,865.0,28.0,34.74,1
290.4,0.0,96.2,168.1,9.4,961.2,865.0,56.0,45.08,1
290.4,0.0,96.2,168.1,9.4,961.2,865.0,100.0,48.97,1
277.1,0.0,97.4,160.6,11.8,973.9,875.6,3.0,23.14,1
277.1,0.0,97.4,160.6,11.8,973.9,875.6,14.0,41.89,1
277.1,0.0,97.4,160.6,11.8,973.9,875.6,28.0,48.28,1
277.1,0.0,97.4,160.6,11.8,973.9,875.6,56.0,51.04,1
277.1,0.0,97.4,160.6,11.8,973.9,875.6,100.0,55.64,1
295.7,0.0,95.6,171.5,8.9,955.1,859.2,3.0,22.95,1
295.7,0.0,95.6,171.5,8.9,955.1,859.2,14.0,35.23,1
295.7,0.0,95.6,171.5,8.9,955.1,859.2,28.0,39.94,1
295.7,0.0,95.6,171.5,8.9,955.1,859.2,56.0,48.72,1
295.7,0.0,95.6,171.5,8.9,955.1,859.2,100.0,52.04,1
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,3.0,21.02,1
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,14.0,33.36,1
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,28.0,33.94,1
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,56.0,44.14,1
251.8,0.0,99.9,146.1,12.4,1006.0,899.8,100.0,45.37,1
249.1,0.0,98.8,158.1,12.8,987.8,889.0,3.0,15.36,1
249.1,0.0,98.8,158.1,12.8,987.8,889.0,14.0,28.68,1
249.1,0.0,98.8,158.1,12.8,987.8,889.0,28.0,30.85,1
249.1,0.0,98.8,158.1,12.8,987.8,889.0,56.0,42.03,1
249.1,0.0,98.8,158.1,12.8,987.8,889.0,100.0,51.06,1
252.3,0.0,98.8,146.3,14.2,987.8,889.0,3.0,21.78,1
252.3,0.0,98.8,146.3,14.2,987.8,889.0,14.0,42.29,1
252.3,0.0,98.8,146.3,14.2,987.8,889.0,28.0,50.6,1
252.3,0.0,98.8,146.3,14.2,987.8,889.0,56.0,55.83,1
252.3,0.0,98.8,146.3,14.2,987.8,889.0,100.0,60.95,1
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,3.0,23.52,1
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,14.0,42.22,1
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,28.0,52.5,1
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,56.0,60.32,1
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,100.0,66.42,1
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,3.0,23.8,1
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,14.0,38.77,1
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,28.0,51.33,1
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,56.0,56.85,1
275.1,0.0,121.4,159.5,9.9,1053.6,777.5,100.0,58.61,1
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,3.0,21.91,1
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,14.0,36.99,1
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,28.0,47.4,1
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,56.0,51.96,1
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,100.0,56.74,1
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,3.0,17.57,1
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,14.0,33.73,1
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,28.0,40.15,1
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,56.0,46.64,1
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,100.0,50.08,1
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,3.0,17.37,1
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,14.0,33.7,1
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,28.0,45.94,1
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,56.0,51.43,1
