Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) ",cluster
213.5,0.0,174.2,154.6,11.7,1052.3,775.5,100.0,59.3,1
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,3.0,30.45,1
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14.0,47.71,1
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,28.0,63.14,1
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,56.0,66.82,1
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,100.0,66.95,1
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3.0,27.42,1
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,14.0,35.96,1
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,28.0,55.51,1
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,56.0,61.99,1
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,100.0,63.53,1
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,3.0,18.02,1
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14.0,38.6,1
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,28.0,52.2,1
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,56.0,53.96,1
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,100.0,56.63,1
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,3.0,15.34,1
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,14.0,26.05,1
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,28.0,30.22,1
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,56.0,37.27,1
218.9,0.0,124.1,158.5,11.3,1078.7,794.9,100.0,46.23,1
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,3.0,16.28,0
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,14.0,25.62,0
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,28.0,31.97,0
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,56.0,36.3,0
376.0,0.0,0.0,214.6,0.0,1003.5,762.4,100.0,43.06,0
500.0,0.0,0.0,140.0,4.0,966.0,853.0,28.0,67.57,0
475.0,0.0,59.0,142.0,1.9,1098.0,641.0,28.0,57.23,0
315.0,137.0,0.0,145.0,5.9,1130.0,745.0,28.0,81.75,0
505.0,0.0,60.0,195.0,0.0,1030.0,630.0,28.0,64.02,0
451.0,0.0,0.0,165.0,11.3,1030.0,745.0,28.0,78.8,0
516.0,0.0,0.0,162.0,8.2,801.0,802.0,28.0,41.37,0
520.0,0.0,0.0,170.0,5.2,855.0,855.0,28.0,60.28,0
528.0,0.0,0.0,185.0,6.9,920.0,720.0,28.0,56.83,0
520.0,0.0,0.0,175.0,5.2,870.0,805.0,28.0,51.02,0
385.0,0.0,136.0,158.0,20.0,903.0,768.0,28.0,55.55,0
500.1,0.0,0.0,200.0,3.0,1124.4,613.2,28.0,44.13,0
450.1,50.0,0.0,200.0,3.0,1124.4,613.2,28.0,39.38,0
397.0,17.2,158.0,167.0,20.8,967.0,633.0,28.0,55.65,0
333.0,17.5,163.0,167.0,17.9,996.0,652.0,28.0,47.28,0
334.0,17.6,158.0,189.0,15.3,967.0,633.0,28.0,44.33,0
405.0,0.0,0.0,175.0,0.0,1120.0,695.0,28.0,52.3,0
200.0,200.0,0.0,190.0,0.0,1145.0,660.0,28.0,49.25,2
516.0,0.0,0.0,162.0,8.3,801.0,802.0,28.0,41.37,0
145.0,116.0,119.0,184.0,5.7,833.0,880.0,28.0,29.16,2
160.0,128.0,122.0,182.0,6.4,824.0,879.0,28.0,39.4,2
234.0,156.0,0.0,189.0,5.9,981.0,760.0,28.0,39.3,2
250.0,180.0,95.0,159.0,9.5,860.0,800.0,28.0,67.87,2
475.0,0.0,0.0,162.0,9.5,1044.0,662.0,28.0,58.52,0
285.0,190.0,0.0,163.0,7.6,1031.0,685.0,28.0,53.58,2
356.0,119.0,0.0,160.0,9.0,1061.0,657.0,28.0,59.0,0
275.0,180.0,120.0,162.0,10.4,830.0,765.0,28.0,76.24,2
500.0,0.0,0.0,151.0,9.0,1033.0,655.0,28.0,69.84,0
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,3.0,14.4,1
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,3.0,19.42,2
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,3.0,20.73,2
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,3.0,14.94,2
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,3.0,21.29,1
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,3.0,23.08,1
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,3.0,15.52,1
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,3.0,15.82,1
190.3,0.0,125.2,166.6,9.9,1079.0,798.9,3.0,12.55,1
250.0,0.0,95.7,191.8,5.3,948.9,857.2,3.0,8.49,1
213.5,0.0,174.2,159.2,11.7,1043.6,771.9,3.0,15.61,1
194.7,0.0,100.5,170.2,7.5,998.0,901.8,3.0,12.18,1
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,3.0,11.98,1
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,14.0,16.88,1
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,14.0,33.09,2
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,14.0,34.24,2
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,14.0,31.81,2
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,14.0,29.75,1
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14.0,33.01,1
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,14.0,32.9,1
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,14.0,29.55,1
190.3,0.0,125.2,166.6,9.9,1079.0,798.9,14.0,19.42,1
250.0,0.0,95.7,191.8,5.3,948.9,857.2,14.0,24.66,1
213.5,0.0,174.2,159.2,11.7,1043.6,771.9,14.0,29.59,1
194.7,0.0,100.5,170.2,7.5,998.0,901.8,14.0,24.28,1
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,14.0,20.73,1
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,28.0,26.2,1
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,28.0,46.39,2
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,28.0,39.16,2
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,28.0,41.2,2
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,28.0,33.69,1
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,28.0,38.2,1
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,28.0,41.41,1
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,28.0,37.81,1
190.3,0.0,125.2,166.6,9.9,1079.0,798.9,28.0,24.85,1
250.0,0.0,95.7,191.8,5.3,948.9,857.2,28.0,27.22,1
213.5,0.0,174.2,159.2,11.7,1043.6,771.9,28.0,44.64,1
194.7,0.0,100.5,170.2,7.5,998.0,901.8,28.0,37.27,1
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,28.0,33.27,1
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,56.0,36.56,1
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,56.0,53.72,2
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,56.0,48.59,2
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,56.0,51.72,2
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,56.0,35.85,1
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,56.0,53.77,1
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,56.0,53.46,1
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,56.0,48.99,1
190.3,0.0,125.2,166.6,9.9,1079.0,798.9,56.0,31.72,1
250.0,0.0,95.7,191.8,5.3,948.9,857.2,56.0,39.64,1
213.5,0.0,174.2,159.2,11.7,1043.6,771.9,56.0,51.26,1
194.7,0.0,100.5,170.2,7.5,998.0,901.8,56.0,43.39,1
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,56.0,39.27,1
165.0,0.0,143.6,163.8,0.0,1005.6,900.9,100.0,37.96,1
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,100.0,55.02,2
178.0,129.8,118.6,179.9,3.6,1007.3,746.8,100.0,49.99,2
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,100.0,53.66,2
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100.0,37.68,1
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,100.0,56.06,1
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,100.0,56.81,1
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,100.0,50.94,1
190.3,0.0,125.2,166.6,9.9,1079.0,798.9,100.0,33.56,1
250.0,0.0,95.7,191.8,5.3,948.9,857.2,100.0,41.16,1
213.5,0.0,174.2,159.2,11.7,1043.6,771.9,100.0,52.96,1
194.7,0.0,100.5,170.2,7.5,998.0,901.8,100.0,44.28,1
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,100.0,40.15,1
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28.0,57.03,0
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28.0,44.42,0
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28.0,51.02,0
446.0,24.0,79.0,162.0,10.3,967.0,712.0,28.0,53.39,0
446.0,24.0,79.0,162.0,11.6,967.0,712.0,3.0,35.36,0
446.0,24.0,79.0,162.0,11.6,967.0,712.0,3.0,25.02,0
446.0,24.0,79.0,162.0,11.6,967.0,712.0,3.0,23.35,0
446.0,24.0,79.0,162.0,11.6,967.0,712.0,7.0,52.01,0
446.0,24.0,79.0,162.0,11.6,967.0,712.0,7.0,38.02,0
446.0,24.0,79.0,162.0,11.6,967.0,712.0,7.0,39.3,0
446.0,24.0,79.0,162.0,11.6,967.0,712.0,56.0,61.07,0
446.0,24.0,79.0,162.0,11.6,967.0,712.0,56.0,56.14,0
446.0,24.0,79.0,162.0,11.6,967.0,712.0,56.0,55.25,0
446.0,24.0,79.0,162.0,10.3,967.0,712.0,56.0,54.77,0
387.0,20.0,94.0,157.0,14.3,938.0,845.0,28.0,50.24,0
387.0,20.0,94.0,157.0,13.9,938.0,845.0,28.0,46.68,0
387.0,20.0,94.0,157.0,11.6,938.0,845.0,28.0,46.68,0
387.0,20.0,94.0,157.0,14.3,938.0,845.0,3.0,22.75,0
387.0,20.0,94.0,157.0,13.9,938.0,845.0,3.0,25.51,0
387.0,20.0,94.0,157.0,11.6,938.0,845.0,3.0,34.77,0
387.0,20.0,94.0,157.0,14.3,938.0,845.0,7.0,36.84,0
387.0,20.0,94.0,157.0,13.9,938.0,845.0,7.0,45.9,0
387.0,20.0,94.0,157.0,11.6,938.0,845.0,7.0,41.67,0
387.0,20.0,94.0,157.0,14.3,938.0,845.0,56.0,56.34,0
387.0,20.0,94.0,157.0,13.9,938.0,845.0,56.0,47.97,0
387.0,20.0,94.0,157.0,11.6,938.0,845.0,56.0,61.46,0
355.0,19.0,97.0,145.0,13.1,967.0,871.0,28.0,44.03,0
355.0,19.0,97.0,145.0,12.3,967.0,871.0,28.0,55.45,0
491.0,26.0,123.0,210.0,3.9,882.0,699.0,28.0,55.55,0
491.0,26.0,123.0,201.0,3.9,822.0,699.0,28.0,57.92,0
491.0,26.0,123.0,210.0,3.9,882.0,699.0,3.0,25.61,0
491.0,26.0,123.0,210.0,3.9,882.0,699.0,7.0,33.49,0
491.0,26.0,123.0,210.0,3.9,882.0,699.0,56.0,59.59,0
491.0,26.0,123.0,201.0,3.9,822.0,699.0,3.0,29.55,0
491.0,26.0,123.0,201.0,3.9,822.0,699.0,7.0,37.92,0
491.0,26.0,123.0,201.0,3.9,822.0,699.0,56.0,61.86,0
424.0,22.0,132.0,178.0,8.5,822.0,750.0,28.0,62.05,0
424.0,22.0,132.0,178.0,8.5,882.0,750.0,3.0,32.01,0
424.0,22.0,132.0,168.0,8.9,822.0,750.0,28.0,72.1,0
424.0,22.0,132.0,178.0,8.5,822.0,750.0,7.0,39.0,0
424.0,22.0,132.0,178.0,8.5,822.0,750.0,56.0,65.7,0
424.0,22.0,132.0,168.0,8.9,822.0,750.0,3.0,32.11,0
424.0,22.0,132.0,168.0,8.9,822.0,750.0,7.0,40.29,0
424.0,22.0,132.0,168.0,8.9,822.0,750.0,56.0,74.36,0
202.0,11.0,141.0,206.0,1.7,942.0,801.0,28.0,21.97,1
202.0,11.0,141.0,206.0,1.7,942.0,801.0,3.0,9.85,1
202.0,11.0,141.0,206.0,1.7,942.0,801.0,7.0,15.07,1
202.0,11.0,141.0,206.0,1.7,942.0,801.0,56.0,23.25,1
284.0,15.0,141.0,179.0,5.5,842.0,801.0,28.0,43.73,1
284.0,15.0,141.0,179.0,5.5,842.0,801.0,3.0,13.4,1
284.0,15.0,141.0,179.0,5.5,842.0,801.0,7.0,24.13,1
284.0,15.0,141.0,179.0,5.5,842.0,801.0,56.0,44.52,1
359.0,19.0,141.0,154.0,10.9,942.0,801.0,28.0,62.94,0
359.0,19.0,141.0,154.0,10.9,942.0,801.0,28.0,59.49,0
359.0,19.0,141.0,154.0,10.9,942.0,801.0,3.0,25.12,0
359.0,19.0,141.0,154.0,10.9,942.0,801.0,3.0,23.64,0
359.0,19.0,141.0,154.0,10.9,942.0,801.0,7.0,35.75,0
359.0,19.0,141.0,154.0,10.9,942.0,801.0,7.0,38.61,0
359.0,19.0,141.0,154.0,10.9,942.0,801.0,56.0,68.75,0
359.0,19.0,141.0,154.0,10.9,942.0,801.0,56.0,66.78,0
436.0,0.0,0.0,218.0,0.0,838.4,719.7,28.0,23.85,0
289.0,0.0,0.0,192.0,0.0,913.2,895.3,90.0,32.07,1
289.0,0.0,0.0,192.0,0.0,913.2,895.3,3.0,11.65,1
393.0,0.0,0.0,192.0,0.0,940.6,785.6,3.0,19.2,0
393.0,0.0,0.0,192.0,0.0,940.6,785.6,90.0,48.85,0
393.0,0.0,0.0,192.0,0.0,940.6,785.6,28.0,39.6,0
480.0,0.0,0.0,192.0,0.0,936.2,712.2,28.0,43.94,0
480.0,0.0,0.0,192.0,0.0,936.2,712.2,7.0,34.57,0
480.0,0.0,0.0,192.0,0.0,936.2,712.2,90.0,54.32,0
480.0,0.0,0.0,192.0,0.0,936.2,712.2,3.0,24.4,0
333.0,0.0,0.0,192.0,0.0,931.2,842.6,3.0,15.62,0
255.0,0.0,0.0,192.0,0.0,889.8,945.0,90.0,21.86,1
255.0,0.0,0.0,192.0,0.0,889.8,945.0,7.0,10.22,1
289.0,0.0,0.0,192.0,0.0,913.2,895.3,7.0,14.6,1
255.0,0.0,0.0,192.0,0.0,889.8,945.0,28.0,18.75,1
333.0,0.0,0.0,192.0,0.0,931.2,842.6,28.0,31.97,0
333.0,0.0,0.0,192.0,0.0,931.2,842.6,7.0,23.4,0
289.0,0.0,0.0,192.0,0.0,913.2,895.3,28.0,25.57,1
333.0,0.0,0.0,192.0,0.0,931.2,842.6,90.0,41.68,0
393.0,0.0,0.0,192.0,0.0,940.6,785.6,7.0,27.74,0
255.0,0.0,0.0,192.0,0.0,889.8,945.0,3.0,8.2,1
158.8,238.2,0.0,185.7,0.0,1040.6,734.3,7.0,9.62,2
239.6,359.4,0.0,185.7,0.0,941.6,664.3,7.0,25.42,2
238.2,158.8,0.0,185.7,0.0,1040.6,734.3,7.0,15.69,2
181.9,272.8,0.0,185.7,0.0,1012.4,714.3,28.0,27.94,2
193.5,290.2,0.0,185.7,0.0,998.2,704.3,28.0,32.63,2
255.5,170.3,0.0,185.7,0.0,1026.6,724.3,7.0,17.24,2
272.8,181.9,0.0,185.7,0.0,1012.4,714.3,7.0,19.77,2
239.6,359.4,0.0,185.7,0.0,941.6,664.3,28.0,39.44,2
220.8,147.2,0.0,185.7,0.0,1055.0,744.3,28.0,25.75,2
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,28.0,33.08,0
382.5,0.0,0.0,185.7,0.0,1047.8,739.3,7.0,24.07,0
210.7,316.1,0.0,185.7,0.0,977.0,689.3,7.0,21.82,2
158.8,238.2,0.0,185.7,0.0,1040.6,734.3,28.0,21.07,2
295.8,0.0,0.0,185.7,0.0,1091.4,769.3,7.0,14.84,1
255.5,170.3,0.0,185.7,0.0,1026.6,724.3,28.0,32.05,2
203.5,135.7,0.0,185.7,0.0,1076.2,759.3,7.0,11.96,2
397.0,0.0,0.0,185.7,0.0,1040.6,734.3,7.0,25.45,0
381.4,0.0,0.0,185.7,0.0,1104.6,784.3,28.0,22.49,0
295.8,0.0,0.0,185.7,0.0,1091.4,769.3,28.0,25.22,1
228.0,342.1,0.0,185.7,0.0,955.8,674.3,28.0,39.7,2
220.8,147.2,0.0,185.7,0.0,1055.0,744.3,7.0,13.09,2
316.1,210.7,0.0,185.7,0.0,977.0,689.3,28.0,38.7,2
135.7,203.5,0.0,185.7,0.0,1076.2,759.3,7.0,7.51,2
238.1,0.0,0.0,185.7,0.0,1118.8,789.3,28.0,17.58,1
339.2,0.0,0.0,185.7,0.0,1069.2,754.3,7.0,21.18,0
135.7,203.5,0.0,185.7,0.0,1076.2,759.3,28.0,18.2,2
193.5,290.2,0.0,185.7,0.0,998.2,704.3,7.0,17.2,2
203.5,135.7,0.0,185.7,0.0,1076.2,759.3,28.0,22.63,2
290.2,193.5,0.0,185.7,0.0,998.2,704.3,7.0,21.86,2
181.9,272.8,0.0,185.7,0.0,1012.4,714.3,7.0,12.37,2
170.3,155.5,0.0,185.7,0.0,1026.6,724.3,28.0,25.73,2
210.7,316.1,0.0,185.7,0.0,977.0,689.3,28.0,37.81,2
228.0,342.1,0.0,185.7,0.0,955.8,674.3,7.0,21.92,2
290.2,193.5,0.0,185.7,0.0,998.2,704.3,28.0,33.04,2
381.4,0.0,0.0,185.7,0.0,1104.6,784.3,7.0,14.54,0
238.2,158.8,0.0,185.7,0.0,1040.6,734.3,28.0,26.91,2
186.2,124.1,0.0,185.7,0.0,1083.4,764.3,7.0,8.0,2
339.2,0.0,0.0,185.7,0.0,1069.2,754.3,28.0,31.9,0
238.1,0.0,0.0,185.7,0.0,1118.8,789.3,7.0,10.34,1
252.5,0.0,0.0,185.7,0.0,1111.6,784.3,28.0,19.77,1
382.5,0.0,0.0,185.7,0.0,1047.8,739.3,28.0,37.44,0
252.5,0.0,0.0,185.7,0.0,1111.6,784.3,7.0,11.48,1
316.1,210.7,0.0,185.7,0.0,977.0,689.3,7.0,24.44,2
186.2,124.1,0.0,185.7,0.0,1083.4,764.3,28.0,17.6,2
170.3,155.5,0.0,185.7,0.0,1026.6,724.3,7.0,10.73,2
272.8,181.9,0.0,185.7,0.0,1012.4,714.3,28.0,31.38,2
339.0,0.0,0.0,197.0,0.0,968.0,781.0,3.0,13.22,0
339.0,0.0,0.0,197.0,0.0,968.0,781.0,7.0,20.97,0
339.0,0.0,0.0,197.0,0.0,968.0,781.0,14.0,27.04,0
339.0,0.0,0.0,197.0,0.0,968.0,781.0,28.0,32.04,0
339.0,0.0,0.0,197.0,0.0,968.0,781.0,90.0,35.17,0
339.0,0.0,0.0,197.0,0.0,968.0,781.0,180.0,36.45,0
339.0,0.0,0.0,197.0,0.0,968.0,781.0,365.0,38.89,0
236.0,0.0,0.0,194.0,0.0,968.0,885.0,3.0,6.47,1
236.0,0.0,0.0,194.0,0.0,968.0,885.0,14.0,12.84,1
236.0,0.0,0.0,194.0,0.0,968.0,885.0,28.0,18.42,1
236.0,0.0,0.0,194.0,0.0,968.0,885.0,90.0,21.95,1
236.0,0.0,0.0,193.0,0.0,968.0,885.0,180.0,24.1,1
236.0,0.0,0.0,193.0,0.0,968.0,885.0,365.0,25.08,1
277.0,0.0,0.0,191.0,0.0,968.0,856.0,14.0,21.26,1
277.0,0.0,0.0,191.0,0.0,968.0,856.0,28.0,25.97,1
277.0,0.0,0.0,191.0,0.0,968.0,856.0,3.0,11.36,1
277.0,0.0,0.0,191.0,0.0,968.0,856.0,90.0,31.25,1
277.0,0.0,0.0,191.0,0.0,968.0,856.0,180.0,32.33,1
277.0,0.0,0.0,191.0,0.0,968.0,856.0,360.0,33.7,0
254.0,0.0,0.0,198.0,0.0,968.0,863.0,3.0,9.31,1
254.0,0.0,0.0,198.0,0.0,968.0,863.0,90.0,26.94,1
254.0,0.0,0.0,198.0,0.0,968.0,863.0,180.0,27.63,1
254.0,0.0,0.0,198.0,0.0,968.0,863.0,365.0,29.79,1
307.0,0.0,0.0,193.0,0.0,968.0,812.0,180.0,34.49,0
307.0,0.0,0.0,193.0,0.0,968.0,812.0,365.0,36.15,0
307.0,0.0,0.0,193.0,0.0,968.0,812.0,3.0,12.54,0
307.0,0.0,0.0,193.0,0.0,968.0,812.0,28.0,27.53,0
307.0,0.0,0.0,193.0,0.0,968.0,812.0,90.0,32.92,0
236.0,0.0,0.0,193.0,0.0,968.0,885.0,7.0,9.99,1
200.0,0.0,0.0,180.0,0.0,1125.0,845.0,7.0,7.84,1
200.0,0.0,0.0,180.0,0.0,1125.0,845.0,28.0,12.25,1
225.0,0.0,0.0,181.0,0.0,1113.0,833.0,7.0,11.17,1
225.0,0.0,0.0,181.0,0.0,1113.0,833.0,28.0,17.34,1
325.0,0.0,0.0,184.0,0.0,1063.0,783.0,7.0,17.54,0
325.0,0.0,0.0,184.0,0.0,1063.0,783.0,28.0,30.57,0
275.0,0.0,0.0,183.0,0.0,1088.0,808.0,7.0,14.2,1
275.0,0.0,0.0,183.0,0.0,1088.0,808.0,28.0,24.5,1
300.0,0.0,0.0,184.0,0.0,1075.0,795.0,7.0,15.58,1
300.0,0.0,0.0,184.0,0.0,1075.0,795.0,28.0,26.85,1
375.0,0.0,0.0,186.0,0.0,1038.0,758.0,7.0,26.06,0
375.0,0.0,0.0,186.0,0.0,1038.0,758.0,28.0,38.21,0
400.0,0.0,0.0,187.0,0.0,1025.0,745.0,28.0,43.7,0
400.0,0.0,0.0,187.0,0.0,1025.0,745.0,7.0,30.14,0
250.0,0.0,0.0,182.0,0.0,1100.0,820.0,7.0,12.73,1
250.0,0.0,0.0,182.0,0.0,1100.0,820.0,28.0,20.87,1
350.0,0.0,0.0,186.0,0.0,1050.0,770.0,7.0,20.28,0
350.0,0.0,0.0,186.0,0.0,1050.0,770.0,28.0,34.29,0
203.5,305.3,0.0,203.5,0.0,963.4,630.0,7.0,19.54,2
250.2,166.8,0.0,203.5,0.0,977.6,694.1,90.0,47.71,2
157.0,236.0,0.0,192.0,0.0,935.4,781.2,90.0,43.38,2
141.3,212.0,0.0,203.5,0.0,971.8,748.5,28.0,29.89,2
166.8,250.2,0.0,203.5,0.0,975.6,692.6,3.0,6.9,2
122.6,183.9,0.0,203.5,0.0,958.2,800.1,90.0,33.19,2
183.9,122.6,0.0,203.5,0.0,959.2,800.0,3.0,4.9,2
102.0,153.0,0.0,192.0,0.0,887.0,942.0,3.0,4.57,2
102.0,153.0,0.0,192.0,0.0,887.0,942.0,90.0,25.46,2
122.6,183.9,0.0,203.5,0.0,958.2,800.1,28.0,24.29,2
166.8,250.2,0.0,203.5,0.0,975.6,692.6,28.0,33.95,2
200.0,133.0,0.0,192.0,0.0,965.4,806.2,3.0,11.41,2
108.3,162.4,0.0,203.5,0.0,938.2,849.0,28.0,20.59,2
305.3,203.5,0.0,203.5,0.0,965.4,631.0,7.0,25.89,2
108.3,162.4,0.0,203.5,0.0,938.2,849.0,90.0,29.23,2
116.0,173.0,0.0,192.0,0.0,909.8,891.9,90.0,31.02,2
141.3,212.0,0.0,203.5,0.0,971.8,748.5,7.0,10.39,2
157.0,236.0,0.0,192.0,0.0,935.4,781.2,28.0,33.66,2
133.0,200.0,0.0,192.0,0.0,927.4,839.2,28.0,27.87,2
250.2,166.8,0.0,203.5,0.0,977.6,694.1,7.0,19.35,2
173.0,116.0,0.0,192.0,0.0,946.8,856.8,7.0,11.39,2
192.0,288.0,0.0,192.0,0.0,929.8,716.1,3.0,12.79,2
192.0,288.0,0.0,192.0,0.0,929.8,716.1,28.0,39.32,2
153.0,102.0,0.0,192.0,0.0,888.0,943.1,3.0,4.78,2
288.0,192.0,0.0,192.0,0.0,932.0,717.8,3.0,16.11,2
305.3,203.5,0.0,203.5,0.0,965.4,631.0,28.0,43.38,2
236.0,157.0,0.0,192.0,0.0,972.6,749.1,7.0,20.42,2
173.0,116.0,0.0,192.0,0.0,946.8,856.8,3.0,6.94,2
212.0,141.3,0.0,203.5,0.0,973.4,750.0,7.0,15.03,2
236.0,157.0,0.0,192.0,0.0,972.6,749.1,3.0,13.57,2
183.9,122.6,0.0,203.5,0.0,959.2,800.0,90.0,32.53,2
166.8,250.2,0.0,203.5,0.0,975.6,692.6,7.0,15.75,2
102.0,153.0,0.0,192.0,0.0,887.0,942.0,7.0,7.68,2
288.0,192.0,0.0,192.0,0.0,932.0,717.8,28.0,38.8,2
212.0,141.3,0.0,203.5,0.0,973.4,750.0,28.0,33.0,2
102.0,153.0,0.0,192.0,0.0,887.0,942.0,28.0,17.28,2
173.0,116.0,0.0,192.0,0.0,946.8,856.8,28.0,24.28,2
183.9,122.6,0.0,203.5,0.0,959.2,800.0,28.0,24.05,2
133.0,200.0,0.0,192.0,0.0,927.4,839.2,90.0,36.59,2
192.0,288.0,0.0,192.0,0.0,929.8,716.1,90.0,50.73,2
133.0,200.0,0.0,192.0,0.0,927.4,839.2,7.0,13.66,2
305.3,203.5,0.0,203.5,0.0,965.4,631.0,3.0,14.14,2
236.0,157.0,0.0,192.0,0.0,972.6,749.1,90.0,47.78,2
108.3,162.4,0.0,203.5,0.0,938.2,849.0,3.0,2.33,2
157.0,236.0,0.0,192.0,0.0,935.4,781.2,7.0,16.89,2
288.0,192.0,0.0,192.0,0.0,932.0,717.8,7.0,23.52,2
